X1,strain,conc,day,Mean,SD,avg_ypad_day,batch,r_anc,rel_fit
668,CBM18,FE2,20210723BIO1,0.0131137361488361,0.00840832725007192,0.25662567848762,0.0131000603387811,0.0112329267258164,0.00186713361296474
669,CBM33,FE2,20210723BIO1,0.0117134738686353,0.012078992188682,0.25662567848762,0.0116997980585803,0.0112329267258164,4.66871332763925e-4
670,CBM46,FE1,20210723BIO1,0.0723821395598456,0.0205658414439705,0.25662567848762,0.0723684637497906,0.0660707838958293,0.00629767985396133
671,CBM7,FE1,20210723BIO1,0.0411438149328092,0.0221908325509521,0.25662567848762,0.0411301391227542,0.0660707838958293,-0.0249406447730751
672,CBM1,FE1,20210723BIO1,0.0574616653296426,0.0144722420420875,0.25662567848762,0.0574479895195876,0.0660707838958293,-0.00862279437624167
673,CBM2,FE1,20210723BIO1,0.100621712334492,0.0251833993548952,0.25662567848762,0.100608036524437,0.0660707838958293,0.0345372526286078
674,CBM13,FE1,20210723BIO1,0.0726846209035218,0.0215301187989465,0.25662567848762,0.0726709450934668,0.0660707838958293,0.00660016119763752
675,CBM44h,YPAD,20210723BIO1,0.270874136969389,0.0155180360163648,0.25662567848762,0.270860461159333,0.272252223050353,-0.00139176189101914
676,CBM46,YPAD,20210723BIO1,0.272115837718356,0.0084822536669119809,0.25662567848762,0.272102161908301,0.272252223050353,-1.50061142051294e-4
677,CBM51,FE1,20210723BIO1,0.0689111615270743,0.0188077401559195,0.25662567848762,0.0688974857170193,0.0660707838958293,0.00282670182119002
678,CBM16,FE2,20210723BIO1,0.0059557572466377,0.00317630558760721,0.25662567848762,0.00594208143658268,0.0112329267258164,-0.00529084528923368
679,OLY008,FE2,20210723BIO1,0.0112329267258164,0.00550367088415458,0.25662567848762,0.0112192509157614,0.0112329267258164,-1.36758100550138e-5
680,CBM53,FE2,20210723BIO1,0.00531898851630075,0.00115632952662323,0.25662567848762,0.00530531270624573,0.0112329267258164,-0.00592761401957063
681,CBM13,YPAD,20210723BIO1,0.273853056169591,0.0115329117465503,0.25662567848762,0.273839380359536,0.272252223050353,0.00158715730918363
682,CBM45,YPAD,20210723BIO1,0.272131304935942,0.0153521608568939,0.25662567848762,0.272117629125887,0.272252223050353,-1.34593924465187e-4
683,CBM36,YPAD,20210723BIO1,0.264790379632991,0.0131996622970391,0.25662567848762,0.264776703822936,0.272252223050353,-0.00747551922741707
684,CBM34,FE1,20210723BIO1,0.0444126238415462,0.0426168679224995,0.25662567848762,0.0443989480314912,0.0660707838958293,-0.0216718358643381
685,CBM29,FE1,20210723BIO1,0.0418454768521167,0.033416437284231,0.25662567848762,0.0418318010420616,0.0660707838958293,-0.0242389828537676
686,CBM54,FE1,20210723BIO1,0.0652829518758372,0.00582788620785619,0.25662567848762,0.0652692760657822,0.0660707838958293,-8.01507830047052e-4
687,CBM21,YPAD,20210723BIO1,0.328367348749668,0.039837030061137,0.25662567848762,0.328353672939613,0.272252223050353,0.0561014498892604
688,CBM24,FE2,20210723BIO1,0.00485040549206654,0.00126714906574678,0.25662567848762,0.00483672968201152,0.0112329267258164,-0.00639619704380484
689,CBM17,FE2,20210723BIO1,0.00246770593588982,4.58773324070544e-4,0.25662567848762,0.0024540301258348,0.0112329267258164,-0.00877889659998156
690,CBM6,FE2,20210723BIO1,0.00579265351241531,0.00411756745973668,0.25662567848762,0.0057789777023603,0.0112329267258164,-0.00545394902345606
691,CBM34,FE2,20210723BIO1,0.00657284916494305,0.00705307599183172,0.25662567848762,0.00655917335488804,0.0112329267258164,-0.00467375337092833
692,CBM4,FE2,20210723BIO1,0.00351702479362004,6.15340389303297e-4,0.25662567848762,0.00350334898356502,0.0112329267258164,-0.00772957774225134
693,CBM14,FE1,20210723BIO1,0.0486580879292357,0.0463629691470736,0.25662567848762,0.0486444121191807,0.0660707838958293,-0.0174263717766486
694,CBM20,FE2,20210723BIO1,0.00816172718668776,0.00867372920741065,0.25662567848762,0.00814805137663275,0.0112329267258164,-0.00308487534918361
695,CBM11,FE2,20210723BIO1,0.0280967051587607,0.024470825935362,0.25662567848762,0.0280830293487057,0.0112329267258164,0.0168501026228893
696,CBM24,YPAD,20210723BIO1,0.252100453792695,0.0153448651852804,0.25662567848762,0.25208677798264,0.272252223050353,-0.0201654450677126
697,CBM47,YPAD,20210723BIO1,0.263686382353285,0.0211664667142511,0.25662567848762,0.26367270654323,0.272252223050353,-0.00857951650712263
698,CBM34,YPAD,20210723BIO1,0.284893301060899,0.011290311196893,0.25662567848762,0.284879625250844,0.272252223050353,0.0126274022004911
699,CBM36,FE2,20210723BIO1,0.0103583097506762,8.9704507718878e-4,0.25662567848762,0.0103446339406211,0.0112329267258164,-8.88292785195218e-4
700,CBM18,FE1,20210723BIO1,0.0676553492987934,0.0235638412244464,0.25662567848762,0.0676416734887384,0.0660707838958293,0.00157088959290909
701,CBM44h,FE1,20210723BIO1,0.0632663872374151,0.0201332464062547,0.25662567848762,0.06325271142736,0.0660707838958293,-0.00281807246846924
702,CBM49,FE1,20210723BIO1,0.0859557904612599,0.0102723138352941,0.25662567848762,0.0859421146512049,0.0660707838958293,0.0198713307553756
703,CBM24,FE1,20210723BIO1,0.0568075171190433,0.013253011065523,0.25662567848762,0.0567938413089883,0.0660707838958293,-0.00927694258684095
704,CBM4,YPAD,20210723BIO1,0.268341123378051,0.0127464396947102,0.25662567848762,0.268327447567996,0.272252223050353,-0.00392477548235648
705,CBM45,FE2,20210723BIO1,0.00388471487200448,5.33689521739386e-4,0.25662567848762,0.00387103906194947,0.0112329267258164,-0.0073618876638669
706,CBM14,FE2,20210723BIO1,0.00249879572589151,5.99689363492995e-4,0.25662567848762,0.0024851199158365,0.0112329267258164,-0.00874780680997987
707,CBM17,YPAD,20210723BIO1,0.186369464086344,0.0386827343921786,0.25662567848762,0.18635578827628901,0.272252223050353,-0.0858964347740632
708,CBM3,YPAD,20210723BIO1,0.253527163791646,0.0118774832233511,0.25662567848762,0.253513487981591,0.272252223050353,-0.0187387350687613
709,CBM1,YPAD,20210723BIO1,0.267732873918918,0.00950056622712701,0.25662567848762,0.267719198108863,0.272252223050353,-0.00453302494148955
710,CBM22,FE1,20210723BIO1,0.0443966431988111,0.0387739065273101,0.25662567848762,0.0443829673887561,0.0660707838958293,-0.0216878165070732
711,CBM26,FE1,20210723BIO1,0.0557247627116138,0.00772952284535815,0.25662567848762,0.0557110869015588,0.0660707838958293,-0.0103596969942705
712,CBM5,YPAD,20210723BIO1,0.163573201566617,0.0609966993893154,0.25662567848762,0.163559525756562,0.272252223050353,-0.108692697293791
713,CBM47,FE2,20210723BIO1,0.00328106498637126,0.00128607236250488,0.25662567848762,0.00326738917631625,0.0112329267258164,-0.00796553754950012
714,CBM14,YPAD,20210723BIO1,0.2669961084326,0.016689065589814,0.25662567848762,0.266982432622545,0.272252223050353,-0.00526979042780795
715,CBM21,FE1,20210723BIO1,0.0673152157681933,0.0026388470141049,0.25662567848762,0.0673015399581383,0.0660707838958293,0.00123075606230903
716,CBM55,FE1,20210723BIO1,0.0740526854577557,0.0261974748918875,0.25662567848762,0.0740390096477007,0.0660707838958293,0.00796822575187145
717,CBM49,YPAD,20210723BIO1,0.252198835719903,0.0152430289547423,0.25662567848762,0.252185159909848,0.272252223050353,-0.0200670631405045
718,CBM44h,FE2,20210723BIO1,0.0128391821988908,0.00728266506491998,0.25662567848762,0.0128255063888358,0.0112329267258164,0.00159257966301946
719,CBM21,FE2,20210723BIO1,0.0111779004385859,0.0033106695561086,0.25662567848762,0.0111642246285309,0.0112329267258164,-6.87020972854717e-5
720,CBM29,YPAD,20210723BIO1,0.214845748502945,0.0148027241667593,0.25662567848762,0.21483207269289,0.272252223050353,-0.0574201503574623
721,CBM45,FE1,20210723BIO1,0.0712520579038145,0.0217070579721287,0.25662567848762,0.0712383820937595,0.0660707838958293,0.00516759819793021
722,CBM6,FE1,20210723BIO1,0.00371741171549071,0.00149390124805497,0.25662567848762,0.00370373590543569,0.0660707838958293,-0.0623670479903936
723,CBM36,FE1,20210723BIO1,0.0672467781200522,0.0335168317057935,0.25662567848762,0.0672331023099971,0.0660707838958293,0.00116231841416786
724,CBM51,YPAD,20210723BIO1,0.271741437034884,0.0105315910542687,0.25662567848762,0.271727761224829,0.272252223050353,-5.24461825523237e-4
725,CBM26,FE2,20210723BIO1,0.0116322583731954,0.0111527360944071,0.25662567848762,0.0116185825631404,0.0112329267258164,3.8565583732399e-4
726,CBM30,YPAD,20210723BIO1,0.256392238515146,0.013411931819669,0.25662567848762,0.256378562705091,0.272252223050353,-0.0158736603452614
727,CBM25,FE1,20210723BIO1,0.0881301204772959,0.0165164751153706,0.25662567848762,0.0881164446672409,0.0660707838958293,0.0220456607714116
728,CBM55,YPAD,20210723BIO1,0.270653023057684,0.0127263412739724,0.25662567848762,0.270639347247629,0.272252223050353,-0.00161287580272323
729,CBM30,FE2,20210723BIO1,0.0141240360444309,0.0161348869580667,0.25662567848762,0.0141103602343759,0.0112329267258164,0.00287743350855957
730,CBM7,YPAD,20210723BIO1,0.224395450606247,0.0157253979387701,0.25662567848762,0.224381774796192,0.272252223050353,-0.0478704482541606
731,CBM37,FE2,20210723BIO1,0.00727565682886085,0.00638294571654512,0.25662567848762,0.00726198101880584,0.0112329267258164,-0.00397094570701053
732,CBM53,FE1,20210723BIO1,0.0805542358280527,0.0223095337700715,0.25662567848762,0.0805405600179977,0.0660707838958293,0.0144697761221684
733,CBM11,YPAD,20210723BIO1,0.24416748921222,0.0108314149334151,0.25662567848762,0.244153813402165,0.272252223050353,-0.0280984096481878
734,CBM25,FE2,20210723BIO1,0.0279433275370463,0.0436477060983788,0.25662567848762,0.0279296517269913,0.0112329267258164,0.0166967250011749
735,CBM3,FE1,20210723BIO1,0.0838161807126259,0.0190882408028055,0.25662567848762,0.0838025049025709,0.0660707838958293,0.0177317210067416
736,CBM5,FE1,20210723BIO1,0.0475324213785229,0.00453427913557722,0.25662567848762,0.0475187455684679,0.0660707838958293,-0.018552038327361398
737,CBM55,FE2,20210723BIO1,0.00386486080176477,0.00109354747490566,0.25662567848762,0.00385118499170976,0.0112329267258164,-0.00738174173410661
738,CBM7,FE2,20210723BIO1,0.00287934038833981,8.5131197640198e-4,0.25662567848762,0.0028656645782848,0.0112329267258164,-0.00836726214753157
739,CBM11,FE1,20210723BIO1,0.0909335295673497,0.0398353007195224,0.25662567848762,0.0909198537572947,0.0660707838958293,0.0248490698614654
740,CBM46,FE2,20210723BIO1,0.0172447897702395,0.0137739823877619,0.25662567848762,0.0172311139601845,0.0112329267258164,0.00599818723436816
741,CBM18,YPAD,20210723BIO1,0.266666105025856,0.0142319399211209,0.25662567848762,0.266652429215801,0.272252223050353,-0.00559979383455184
742,CBM20,FE1,20210723BIO1,0.0566036849752871,0.00961930945672254,0.25662567848762,0.0565900091652321,0.0660707838958293,-0.00948077473059718
743,CBM33,YPAD,20210723BIO1,0.269090487480171,0.0143618940308807,0.25662567848762,0.269076811670116,0.272252223050353,-0.00317541138023675
744,CBM53,YPAD,20210723BIO1,0.267960084404265,0.014076694183164,0.25662567848762,0.26794640859421,0.272252223050353,-0.0043058144561427
